epoch,acc,loss,val_acc,val_loss
0,0.8649929268693991,0.3144092490577799,0.903567654153392,0.250293796252379
1,0.900194717837891,0.2378438605626382,0.9154362499145432,0.21965160252179666
2,0.9113648372912834,0.21543850790881378,0.9229247684573083,0.19293813402683901
3,0.9184811405216324,0.20124644501496466,0.9226421844154986,0.21344628142398897
4,0.9220392935295868,0.1940882934007123,0.9292122977481466,0.17890915111449446
5,0.924499906677338,0.18658526129011643,0.9329565578195915,0.1697179577831496
6,0.9300407107308135,0.17692262832465097,0.9244083400245944,0.18413247384396764
7,0.932147275643932,0.16851578129643063,0.933592377303557,0.1819077824975694
8,0.9330854962559627,0.16556343404059495,0.9267396752761051,0.19566661702138044
9,0.9419366210767666,0.14837690047256333,0.9375485744168084,0.16415497257973946
10,0.9441671045633898,0.13965837168923562,0.937124695659147,0.16305366647470887
11,0.9459019259322659,0.1348329991429311,0.9379724538692608,0.1630488455937718
12,0.9461674604358494,0.13344548698293782,0.9382550389006212,0.1647158224163271
13,0.9479907902389907,0.13172341566773554,0.9383256869322838,0.16475768944729516
14,0.9490175212372888,0.12765686257758338,0.9375485737430717,0.1629083992966659
15,0.9496548019862635,0.1284262609230689,0.9382550368794111,0.1629857031575196
16,0.9488227976425746,0.12622441878652105,0.9381137441847696,0.16295190170244125
17,0.9495662916105476,0.12632782787617422,0.9385376226055626,0.16315283050220453
18,0.9507523427116784,0.12480926472257779,0.9381843905320904,0.1629844353587246
19,0.949406971950872,0.1272161916309826,0.9380430981743172,0.16320068497343646
20,0.9495485895480661,0.1263444593499711,0.9383256828898636,0.16266980511440654
21,0.9507169353474472,0.1252118855698971,0.9384669769319786,0.16332716441373443
22,0.9489113094427244,0.12925474657213018,0.9383256835636002,0.16341677972871227
23,0.9503805960864382,0.12431297056241085,0.9382550375531479,0.16315130876783177
24,0.9501150613718274,0.1233147663300223,0.9382550372162795,0.16309861661961708
25,0.9491237352370878,0.12772098010853342,0.9379724525007331,0.16316299712603188
26,0.9508054497221293,0.12629338267746806,0.9379018054796756,0.1633515802426879
27,0.949778718977064,0.12576833183622124,0.9379018051428072,0.16327411300594502
28,0.9491768416777652,0.12758133371945377,0.9379724535113382,0.1631376791162484
29,0.9498318260719257,0.12587743835874227,0.9379018048059389,0.1631692555453069
