epoch,acc,loss
0,0.9172769899659313,0.2072854255216782
1,0.9322721834936468,0.17279086336868685
2,0.9375356507329876,0.16215115131373917
3,0.940256595729115,0.1560804225099733
4,0.9427451218125087,0.15050295021090354
5,0.9445340432807112,0.14606705183841015
6,0.9461257608383717,0.1422084956398578
7,0.9468324085611889,0.139903395128406
8,0.9483513486999506,0.13702310835554207
9,0.9493068485909517,0.13470618556293526
10,0.9502318289321889,0.13220205292251028
11,0.9512507163419438,0.12914551721637618
12,0.9517225971791838,0.1283462235057514
13,0.9522062166786277,0.1267602020763483
14,0.9528494766336125,0.12501848441381833
15,0.9531875411896102,0.12332368332518907
16,0.9541172166558347,0.12127580533796532
17,0.9551947958373593,0.1196675645339345
18,0.9560563892678464,0.1174816570332001
19,0.9563028944734943,0.11581868061197206
20,0.9566292203959742,0.11541101732521131
21,0.9576340211846748,0.11313745387336592
22,0.9577443618591719,0.11264308438997135
23,0.9583641448353805,0.11038532949631358
24,0.9596624054449608,0.10845870365074511
25,0.9593736418111506,0.10839304420319763
26,0.9600544650525187,0.10652948582990715
27,0.9608925824109875,0.10496222356120517
28,0.9607305929065275,0.1038156323957392
29,0.961263513836811,0.10286172991795069
30,0.9618668634631153,0.10163785274639602
31,0.9624279568868723,0.10048394959909596
32,0.9626415934413628,0.09894029380456128
33,0.9634726673542703,0.09745751474565124
34,0.9638858577302016,0.0967084450907836
35,0.9644023438727818,0.09444271863030124
36,0.9643577376935677,0.09450085557766952
37,0.9648718769456766,0.09356723658401099
38,0.9656888651121034,0.09128321762136932
39,0.9653954065876916,0.09099198785491434
40,0.9659095457656366,0.09020518123380449
41,0.9670458164495623,0.08759201579505627
42,0.9670152968990987,0.08698278478873597
43,0.9676984680909214,0.08564314932744245
