epoch,acc,loss,val_acc,val_loss
0,0.8577616699935692,0.5025084896758726,0.8707170697729818,1.0187481712511763
1,0.8739068832708093,0.36298577991032477,0.874531972723056,2.052806717279479
2,0.8729863674118574,0.3342609067742097,0.874531972723056,0.8787113269787717
3,0.8732341991565695,0.32310937712742893,0.8589897538159939,0.3465089715861971
4,0.8742786317003324,0.3211689388610595,0.8676792685849134,0.3523192105466761
5,0.8741370140503816,0.31814242248662616,0.874531972723056,0.72260575966547
6,0.8742786313626888,0.3182686308428848,0.8753090875860828,0.41200685787436736
7,0.873977693778727,0.3149397019781588,0.8761568419853734,0.3160851017740749
8,0.8744556540977767,0.3063969032060448,0.8765100769222267,0.3326616320918281
9,0.8747742940396582,0.3043458936942069,0.8776404199952669,0.4362169574908004
10,0.8758541335044951,0.30187703388668746,0.8767220154430958,0.3066012675330143
11,0.8766684343085117,0.30057660043556134,0.8742493905077044,0.31340925771833855
12,0.877093289611318,0.2972441534222407,0.8787001147682024,0.30795635860406734
13,0.8768808627723698,0.29943370983693046,0.8777110632107646,0.35713580765517006
14,0.8767038411662776,0.29687240069831317,0.879971751646497,0.34505553028264346
15,0.8776774644260809,0.2971511550932189,0.8799717521517996,0.33700912915030706
16,0.8778190788367635,0.29552665597612954,0.8812433860667053,0.3341380633974362
17,0.8777836780038254,0.2946421167326725,0.8810314489459452,0.3311370876895712
18,0.8788812167350328,0.29362405785671863,0.8807488628829254,0.3374860188178652
19,0.8778721868812479,0.2956174930221614,0.8808195092302462,0.3394417237241712
20,0.8793768785678933,0.2930447613481801,0.8808195095671145,0.33503353633631333
21,0.8788281094185925,0.2945054123772628,0.8804662778305107,0.3356025214331683
22,0.8787927049137804,0.2940055891082738,0.8807488632197937,0.3348058100430547
23,0.8780669117315741,0.29616879906711757,0.8807488628829254,0.33285044394209795
24,0.8771109905659066,0.2963415096398686,0.8806782172093414,0.33296090404459294
25,0.8785625740392459,0.29442509076599105,0.8807488635566622,0.3367866216216227
26,0.8787218955032043,0.2939347753953799,0.880819509903983,0.3345354848512699
27,0.8785448725676406,0.2938239247129119,0.8807488635566622,0.3355218671059617
28,0.8788635148730272,0.29358812311430443,0.8811020946195293,0.33968038459583794
29,0.8780138050165613,0.29531017671245074,0.8807488632197937,0.33211762026736613
